70        6.22738
75        6.57854
80        6.92714
85        7.27418
90        7.62052
95        7.96688
100       8.31385
120       9.71557
140       11.1480
160       12.6118
180       14.1011
200       15.6080
220       17.1245
240       18.6437
260       20.1598
273.15    21.1525
280       21.6678
298.15    23.0264
300       23.1643
350       26.8376
400       30.3956
450       33.8287
500       37.1369
550       40.3255
600       43.4017
650       46.3740
700       49.2506
750       52.0395
800       54.7479
850       57.3826
900       59.9496
950       62.4544
1000      64.9019
1200      74.1997
1400      82.8606
1600      91.0294
1800      98.8060
2000      106.261
2500      123.805
3000      140.170
3500      155.662
4000      170.472
4500      184.729
5000      198.524
