  0.49994906D-02  0.14998472D-01  0.24997453D-01  0.34996435D-01  0.44995417D-01  0.54994400D-01  0.64993384D-01  0.74992369D-01  0.84991355D-01  0.94990342D-01  0.10498933D+00  0.11498832D+00  0.12498731D+00  0.13498631D+00  0.14498530D+00  0.15498430D+00  0.16498330D+00  0.17498230D+00  0.18498130D+00  0.19498030D+00  0.20497931D+00  0.21497831D+00  0.22497732D+00  0.23497633D+00  0.24497535D+00  0.25497436D+00  0.26497338D+00  0.27497239D+00  0.28497141D+00  0.29497043D+00  0.30496945D+00  0.31496847D+00  0.32496749D+00  0.33496651D+00  0.34496553D+00  0.35496455D+00  0.36496357D+00  0.37496259D+00  0.38496161D+00  0.39496063D+00  0.40495965D+00  0.41495866D+00  0.42495768D+00  0.43495669D+00  0.44495570D+00  0.45495471D+00  0.46495372D+00  0.47495273D+00  0.48495173D+00  0.49495073D+00  0.50494973D+00  0.51494873D+00  0.52494772D+00  0.53494671D+00  0.54494570D+00  0.55494469D+00  0.56494368D+00  0.57494266D+00  0.58494164D+00  0.59494062D+00  0.60493960D+00  0.61493858D+00  0.62493756D+00  0.63493654D+00  0.64493551D+00  0.65493449D+00  0.66493347D+00  0.67493245D+00  0.68493143D+00  0.69493042D+00  0.70492941D+00  0.71492840D+00  0.72492739D+00  0.73492639D+00  0.74492539D+00  0.75492440D+00  0.76492341D+00  0.77492242D+00  0.78492145D+00  0.79492047D+00  0.80491951D+00  0.81491855D+00  0.82491759D+00  0.83491664D+00  0.84491569D+00  0.85491474D+00  0.86491380D+00  0.87491285D+00  0.88491191D+00  0.89491096D+00  0.90491001D+00  0.91490905D+00  0.92490808D+00  0.93490709D+00  0.94490609D+00  0.95490506D+00  0.96490401D+00  0.97490292D+00  0.98490179D+00  0.99490061D+00  0.15820089D+06  0.20000000D+01  0.15821671D+06
  0.49994956D-02  0.14998487D-01  0.24997478D-01  0.34996469D-01  0.44995461D-01  0.54994452D-01  0.64993444D-01  0.74992435D-01  0.84991427D-01  0.94990419D-01  0.10498941D+00  0.11498840D+00  0.12498740D+00  0.13498639D+00  0.14498538D+00  0.15498438D+00  0.16498337D+00  0.17498236D+00  0.18498136D+00  0.19498035D+00  0.20497935D+00  0.21497834D+00  0.22497734D+00  0.23497633D+00  0.24497533D+00  0.25497433D+00  0.26497332D+00  0.27497232D+00  0.28497132D+00  0.29497032D+00  0.30496931D+00  0.31496831D+00  0.32496731D+00  0.33496631D+00  0.34496530D+00  0.35496430D+00  0.36496330D+00  0.37496230D+00  0.38496130D+00  0.39496030D+00  0.40495930D+00  0.41495829D+00  0.42495729D+00  0.43495629D+00  0.44495529D+00  0.45495429D+00  0.46495329D+00  0.47495229D+00  0.48495128D+00  0.49495028D+00  0.50494928D+00  0.51494828D+00  0.52494728D+00  0.53494627D+00  0.54494527D+00  0.55494427D+00  0.56494327D+00  0.57494226D+00  0.58494126D+00  0.59494026D+00  0.60493926D+00  0.61493825D+00  0.62493725D+00  0.63493625D+00  0.64493525D+00  0.65493425D+00  0.66493325D+00  0.67493225D+00  0.68493125D+00  0.69493025D+00  0.70492925D+00  0.71492825D+00  0.72492725D+00  0.73492626D+00  0.74492526D+00  0.75492427D+00  0.76492327D+00  0.77492228D+00  0.78492129D+00  0.79492030D+00  0.80491931D+00  0.81491832D+00  0.82491733D+00  0.83491634D+00  0.84491536D+00  0.85491437D+00  0.86491339D+00  0.87491240D+00  0.88491142D+00  0.89491043D+00  0.90490945D+00  0.91490847D+00  0.92490748D+00  0.93490649D+00  0.94490550D+00  0.95490451D+00  0.96490352D+00  0.97490252D+00  0.98490152D+00  0.99490051D+00  0.93259793D+05  0.40100000D+01  0.93269120D+05
  0.49994881D-02  0.14998464D-01  0.24997441D-01  0.34996417D-01  0.44995393D-01  0.54994370D-01  0.64993346D-01  0.74992323D-01  0.84991300D-01  0.94990277D-01  0.10498925D+00  0.11498823D+00  0.12498721D+00  0.13498619D+00  0.14498516D+00  0.15498414D+00  0.16498312D+00  0.17498210D+00  0.18498108D+00  0.19498006D+00  0.20497904D+00  0.21497802D+00  0.22497700D+00  0.23497598D+00  0.24497496D+00  0.25497394D+00  0.26497292D+00  0.27497191D+00  0.28497089D+00  0.29496987D+00  0.30496886D+00  0.31496784D+00  0.32496682D+00  0.33496581D+00  0.34496479D+00  0.35496378D+00  0.36496277D+00  0.37496175D+00  0.38496074D+00  0.39495973D+00  0.40495872D+00  0.41495771D+00  0.42495670D+00  0.43495569D+00  0.44495468D+00  0.45495367D+00  0.46495266D+00  0.47495165D+00  0.48495064D+00  0.49494964D+00  0.50494863D+00  0.51494763D+00  0.52494662D+00  0.53494562D+00  0.54494461D+00  0.55494361D+00  0.56494261D+00  0.57494161D+00  0.58494061D+00  0.59493961D+00  0.60493861D+00  0.61493761D+00  0.62493661D+00  0.63493561D+00  0.64493462D+00  0.65493362D+00  0.66493263D+00  0.67493164D+00  0.68493065D+00  0.69492965D+00  0.70492866D+00  0.71492768D+00  0.72492669D+00  0.73492570D+00  0.74492472D+00  0.75492373D+00  0.76492275D+00  0.77492177D+00  0.78492079D+00  0.79491981D+00  0.80491883D+00  0.81491785D+00  0.82491688D+00  0.83491591D+00  0.84491493D+00  0.85491396D+00  0.86491299D+00  0.87491202D+00  0.88491106D+00  0.89491009D+00  0.90490913D+00  0.91490816D+00  0.92490720D+00  0.93490624D+00  0.94490528D+00  0.95490432D+00  0.96490336D+00  0.97490240D+00  0.98490144D+00  0.99490048D+00  0.55107134D+05  0.60300500D+01  0.55112645D+05
  0.49994743D-02  0.14998423D-01  0.24997371D-01  0.34996320D-01  0.44995269D-01  0.54994217D-01  0.64993166D-01  0.74992116D-01  0.84991065D-01  0.94990015D-01  0.10498896D+00  0.11498791D+00  0.12498687D+00  0.13498582D+00  0.14498477D+00  0.15498372D+00  0.16498267D+00  0.17498163D+00  0.18498058D+00  0.19497953D+00  0.20497849D+00  0.21497744D+00  0.22497640D+00  0.23497535D+00  0.24497431D+00  0.25497327D+00  0.26497223D+00  0.27497119D+00  0.28497015D+00  0.29496911D+00  0.30496807D+00  0.31496703D+00  0.32496600D+00  0.33496496D+00  0.34496393D+00  0.35496289D+00  0.36496186D+00  0.37496083D+00  0.38495980D+00  0.39495877D+00  0.40495775D+00  0.41495672D+00  0.42495569D+00  0.43495467D+00  0.44495365D+00  0.45495263D+00  0.46495161D+00  0.47495059D+00  0.48494957D+00  0.49494856D+00  0.50494754D+00  0.51494653D+00  0.52494552D+00  0.53494451D+00  0.54494350D+00  0.55494250D+00  0.56494149D+00  0.57494049D+00  0.58493949D+00  0.59493849D+00  0.60493749D+00  0.61493650D+00  0.62493551D+00  0.63493451D+00  0.64493352D+00  0.65493254D+00  0.66493155D+00  0.67493057D+00  0.68492959D+00  0.69492861D+00  0.70492763D+00  0.71492666D+00  0.72492569D+00  0.73492472D+00  0.74492375D+00  0.75492278D+00  0.76492182D+00  0.77492086D+00  0.78491990D+00  0.79491895D+00  0.80491800D+00  0.81491705D+00  0.82491610D+00  0.83491516D+00  0.84491421D+00  0.85491328D+00  0.86491234D+00  0.87491141D+00  0.88491048D+00  0.89490955D+00  0.90490863D+00  0.91490770D+00  0.92490679D+00  0.93490587D+00  0.94490496D+00  0.95490405D+00  0.96490315D+00  0.97490224D+00  0.98490135D+00  0.99490045D+00  0.34856598D+05  0.80602002D+01  0.34860084D+05
  0.49994562D-02  0.14998368D-01  0.24997281D-01  0.34996193D-01  0.44995106D-01  0.54994018D-01  0.64992932D-01  0.74991845D-01  0.84990759D-01  0.94989673D-01  0.10498859D+00  0.11498750D+00  0.12498642D+00  0.13498533D+00  0.14498425D+00  0.15498317D+00  0.16498209D+00  0.17498101D+00  0.18497993D+00  0.19497885D+00  0.20497777D+00  0.21497669D+00  0.22497562D+00  0.23497454D+00  0.24497347D+00  0.25497240D+00  0.26497133D+00  0.27497026D+00  0.28496919D+00  0.29496812D+00  0.30496706D+00  0.31496599D+00  0.32496493D+00  0.33496387D+00  0.34496281D+00  0.35496176D+00  0.36496070D+00  0.37495965D+00  0.38495860D+00  0.39495755D+00  0.40495650D+00  0.41495546D+00  0.42495441D+00  0.43495337D+00  0.44495233D+00  0.45495130D+00  0.46495026D+00  0.47494923D+00  0.48494820D+00  0.49494718D+00  0.50494615D+00  0.51494513D+00  0.52494411D+00  0.53494310D+00  0.54494209D+00  0.55494108D+00  0.56494007D+00  0.57493907D+00  0.58493807D+00  0.59493707D+00  0.60493607D+00  0.61493508D+00  0.62493409D+00  0.63493311D+00  0.64493213D+00  0.65493115D+00  0.66493017D+00  0.67492920D+00  0.68492824D+00  0.69492727D+00  0.70492631D+00  0.71492536D+00  0.72492440D+00  0.73492346D+00  0.74492251D+00  0.75492157D+00  0.76492063D+00  0.77491970D+00  0.78491877D+00  0.79491785D+00  0.80491693D+00  0.81491602D+00  0.82491510D+00  0.83491420D+00  0.84491330D+00  0.85491240D+00  0.86491151D+00  0.87491062D+00  0.88490974D+00  0.89490887D+00  0.90490799D+00  0.91490713D+00  0.92490627D+00  0.93490541D+00  0.94490456D+00  0.95490372D+00  0.96490288D+00  0.97490205D+00  0.98490123D+00  0.99490041D+00  0.23545529D+05  0.10100501D+02  0.23547884D+05
  0.49994401D-02  0.14998320D-01  0.24997200D-01  0.34996080D-01  0.44994961D-01  0.54993842D-01  0.64992723D-01  0.74991605D-01  0.84990487D-01  0.94989370D-01  0.10498825D+00  0.11498714D+00  0.12498602D+00  0.13498491D+00  0.14498379D+00  0.15498268D+00  0.16498157D+00  0.17498046D+00  0.18497935D+00  0.19497824D+00  0.20497714D+00  0.21497603D+00  0.22497493D+00  0.23497383D+00  0.24497273D+00  0.25497163D+00  0.26497053D+00  0.27496944D+00  0.28496834D+00  0.29496725D+00  0.30496616D+00  0.31496507D+00  0.32496399D+00  0.33496291D+00  0.34496183D+00  0.35496075D+00  0.36495967D+00  0.37495860D+00  0.38495753D+00  0.39495646D+00  0.40495540D+00  0.41495434D+00  0.42495328D+00  0.43495222D+00  0.44495117D+00  0.45495012D+00  0.46494907D+00  0.47494803D+00  0.48494699D+00  0.49494596D+00  0.50494492D+00  0.51494389D+00  0.52494287D+00  0.53494185D+00  0.54494083D+00  0.55493982D+00  0.56493881D+00  0.57493780D+00  0.58493680D+00  0.59493580D+00  0.60493481D+00  0.61493382D+00  0.62493284D+00  0.63493186D+00  0.64493088D+00  0.65492991D+00  0.66492895D+00  0.67492799D+00  0.68492703D+00  0.69492608D+00  0.70492514D+00  0.71492420D+00  0.72492326D+00  0.73492233D+00  0.74492141D+00  0.75492049D+00  0.76491958D+00  0.77491867D+00  0.78491777D+00  0.79491687D+00  0.80491598D+00  0.81491510D+00  0.82491422D+00  0.83491335D+00  0.84491248D+00  0.85491163D+00  0.86491077D+00  0.87490993D+00  0.88490909D+00  0.89490826D+00  0.90490744D+00  0.91490662D+00  0.92490581D+00  0.93490501D+00  0.94490422D+00  0.95490343D+00  0.96490266D+00  0.97490189D+00  0.98490113D+00  0.99490038D+00  0.16767859D+05  0.12151004D+02  0.16769536D+05
  0.49994369D-02  0.14998310D-01  0.24997184D-01  0.34996058D-01  0.44994933D-01  0.54993807D-01  0.64992682D-01  0.74991558D-01  0.84990434D-01  0.94989310D-01  0.10498819D+00  0.11498707D+00  0.12498594D+00  0.13498482D+00  0.14498370D+00  0.15498259D+00  0.16498147D+00  0.17498035D+00  0.18497924D+00  0.19497812D+00  0.20497701D+00  0.21497590D+00  0.22497479D+00  0.23497369D+00  0.24497258D+00  0.25497148D+00  0.26497037D+00  0.27496927D+00  0.28496818D+00  0.29496708D+00  0.30496599D+00  0.31496489D+00  0.32496381D+00  0.33496272D+00  0.34496163D+00  0.35496055D+00  0.36495947D+00  0.37495840D+00  0.38495732D+00  0.39495625D+00  0.40495518D+00  0.41495412D+00  0.42495306D+00  0.43495200D+00  0.44495094D+00  0.45494989D+00  0.46494884D+00  0.47494780D+00  0.48494675D+00  0.49494572D+00  0.50494468D+00  0.51494365D+00  0.52494263D+00  0.53494160D+00  0.54494058D+00  0.55493957D+00  0.56493856D+00  0.57493755D+00  0.58493655D+00  0.59493556D+00  0.60493456D+00  0.61493358D+00  0.62493259D+00  0.63493161D+00  0.64493064D+00  0.65492967D+00  0.66492871D+00  0.67492775D+00  0.68492680D+00  0.69492585D+00  0.70492491D+00  0.71492397D+00  0.72492304D+00  0.73492211D+00  0.74492119D+00  0.75492028D+00  0.76491937D+00  0.77491847D+00  0.78491757D+00  0.79491668D+00  0.80491579D+00  0.81491492D+00  0.82491405D+00  0.83491318D+00  0.84491232D+00  0.85491147D+00  0.86491063D+00  0.87490979D+00  0.88490896D+00  0.89490814D+00  0.90490733D+00  0.91490652D+00  0.92490572D+00  0.93490493D+00  0.94490415D+00  0.95490337D+00  0.96490261D+00  0.97490185D+00  0.98490111D+00  0.99490037D+00  0.12443568D+05  0.14211759D+02  0.12444813D+05
  0.49994639D-02  0.14998392D-01  0.24997320D-01  0.34996248D-01  0.44995176D-01  0.54994104D-01  0.64993033D-01  0.74991962D-01  0.84990891D-01  0.94989820D-01  0.10498875D+00  0.11498768D+00  0.12498661D+00  0.13498554D+00  0.14498447D+00  0.15498341D+00  0.16498234D+00  0.17498127D+00  0.18498021D+00  0.19497914D+00  0.20497808D+00  0.21497702D+00  0.22497595D+00  0.23497489D+00  0.24497383D+00  0.25497277D+00  0.26497172D+00  0.27497066D+00  0.28496960D+00  0.29496855D+00  0.30496749D+00  0.31496644D+00  0.32496539D+00  0.33496434D+00  0.34496329D+00  0.35496225D+00  0.36496120D+00  0.37496016D+00  0.38495912D+00  0.39495807D+00  0.40495704D+00  0.41495600D+00  0.42495496D+00  0.43495393D+00  0.44495290D+00  0.45495187D+00  0.46495084D+00  0.47494982D+00  0.48494879D+00  0.49494777D+00  0.50494675D+00  0.51494573D+00  0.52494472D+00  0.53494371D+00  0.54494269D+00  0.55494169D+00  0.56494068D+00  0.57493968D+00  0.58493868D+00  0.59493768D+00  0.60493668D+00  0.61493569D+00  0.62493470D+00  0.63493371D+00  0.64493273D+00  0.65493175D+00  0.66493077D+00  0.67492979D+00  0.68492882D+00  0.69492785D+00  0.70492688D+00  0.71492592D+00  0.72492496D+00  0.73492400D+00  0.74492304D+00  0.75492209D+00  0.76492114D+00  0.77492020D+00  0.78491926D+00  0.79491832D+00  0.80491739D+00  0.81491646D+00  0.82491553D+00  0.83491461D+00  0.84491369D+00  0.85491278D+00  0.86491186D+00  0.87491096D+00  0.88491006D+00  0.89490916D+00  0.90490826D+00  0.91490737D+00  0.92490649D+00  0.93490561D+00  0.94490473D+00  0.95490386D+00  0.96490300D+00  0.97490213D+00  0.98490128D+00  0.99490043D+00  0.95376216D+04  0.16282818D+02  0.95385755D+04
  0.49995462D-02  0.14998638D-01  0.24997731D-01  0.34996823D-01  0.44995915D-01  0.54995006D-01  0.64994098D-01  0.74993189D-01  0.84992280D-01  0.94991370D-01  0.10499046D+00  0.11498955D+00  0.12498864D+00  0.13498773D+00  0.14498681D+00  0.15498590D+00  0.16498499D+00  0.17498407D+00  0.18498315D+00  0.19498224D+00  0.20498132D+00  0.21498040D+00  0.22497948D+00  0.23497856D+00  0.24497764D+00  0.25497671D+00  0.26497579D+00  0.27497486D+00  0.28497393D+00  0.29497300D+00  0.30497207D+00  0.31497114D+00  0.32497020D+00  0.33496927D+00  0.34496833D+00  0.35496739D+00  0.36496645D+00  0.37496550D+00  0.38496456D+00  0.39496361D+00  0.40496266D+00  0.41496171D+00  0.42496076D+00  0.43495980D+00  0.44495884D+00  0.45495788D+00  0.46495691D+00  0.47495595D+00  0.48495498D+00  0.49495401D+00  0.50495303D+00  0.51495206D+00  0.52495108D+00  0.53495009D+00  0.54494911D+00  0.55494812D+00  0.56494713D+00  0.57494613D+00  0.58494513D+00  0.59494413D+00  0.60494313D+00  0.61494212D+00  0.62494111D+00  0.63494009D+00  0.64493907D+00  0.65493805D+00  0.66493702D+00  0.67493599D+00  0.68493496D+00  0.69493392D+00  0.70493288D+00  0.71493184D+00  0.72493079D+00  0.73492973D+00  0.74492867D+00  0.75492761D+00  0.76492655D+00  0.77492547D+00  0.78492440D+00  0.79492332D+00  0.80492223D+00  0.81492115D+00  0.82492005D+00  0.83491895D+00  0.84491785D+00  0.85491674D+00  0.86491562D+00  0.87491450D+00  0.88491338D+00  0.89491225D+00  0.90491111D+00  0.91490997D+00  0.92490882D+00  0.93490767D+00  0.94490651D+00  0.95490534D+00  0.96490417D+00  0.97490299D+00  0.98490180D+00  0.99490061D+00  0.75003183D+04  0.18364232D+02  0.75010684D+04
  0.49997176D-02  0.14999153D-01  0.24998587D-01  0.34998021D-01  0.44997455D-01  0.54996887D-01  0.64996318D-01  0.74995747D-01  0.84995174D-01  0.94994599D-01  0.10499402D+00  0.11499344D+00  0.12499286D+00  0.13499228D+00  0.14499169D+00  0.15499109D+00  0.16499050D+00  0.17498990D+00  0.18498929D+00  0.19498868D+00  0.20498807D+00  0.21498745D+00  0.22498683D+00  0.23498620D+00  0.24498556D+00  0.25498492D+00  0.26498427D+00  0.27498362D+00  0.28498296D+00  0.29498229D+00  0.30498161D+00  0.31498093D+00  0.32498024D+00  0.33497954D+00  0.34497883D+00  0.35497811D+00  0.36497739D+00  0.37497665D+00  0.38497591D+00  0.39497515D+00  0.40497439D+00  0.41497361D+00  0.42497283D+00  0.43497203D+00  0.44497122D+00  0.45497040D+00  0.46496957D+00  0.47496873D+00  0.48496787D+00  0.49496701D+00  0.50496613D+00  0.51496523D+00  0.52496433D+00  0.53496341D+00  0.54496247D+00  0.55496152D+00  0.56496056D+00  0.57495958D+00  0.58495859D+00  0.59495758D+00  0.60495656D+00  0.61495552D+00  0.62495446D+00  0.63495339D+00  0.64495230D+00  0.65495120D+00  0.66495007D+00  0.67494893D+00  0.68494777D+00  0.69494659D+00  0.70494540D+00  0.71494418D+00  0.72494295D+00  0.73494169D+00  0.74494042D+00  0.75493913D+00  0.76493781D+00  0.77493648D+00  0.78493512D+00  0.79493374D+00  0.80493234D+00  0.81493092D+00  0.82492948D+00  0.83492801D+00  0.84492652D+00  0.85492500D+00  0.86492346D+00  0.87492190D+00  0.88492031D+00  0.89491869D+00  0.90491705D+00  0.91491538D+00  0.92491369D+00  0.93491196D+00  0.94491021D+00  0.95490842D+00  0.96490661D+00  0.97490476D+00  0.98490289D+00  0.99490097D+00  0.60214983D+04  0.20456053D+02  0.60221005D+04
