 -0.9212708292D+00 -0.7678322208D+00 -0.6198353129D+00 -0.4773822097D+00 -0.3405794611D+00 -0.2095382406D+00 -0.8437485860D-01  0.3478941451D-01  0.1478270804D+00  0.2546050143D+00  0.3549836928D+00  0.4488167065D+00  0.5359495735D+00  0.6162210898D+00  0.6894606355D+00  0.7554892913D+00  0.8141182278D+00  0.8651482017D+00  0.9083692631D+00  0.9435595591D+00  0.9704848404D+00  0.9888976903D+00  0.9985366791D+00  0.9991258954D+00  0.9903742468D+00  0.9719754042D+00  0.9436078773D+00  0.9049352312D+00  0.8556088355D+00  0.7952698524D+00  0.7235568191D+00  0.6401118446D+00  0.5445989768D+00  0.4367279884D+00  0.3162937299D+00  0.1832426839D+00  0.3778450523D-01 -0.1194163598D+00 -0.2869049102D+00 -0.4618064103D+00 -0.6385937073D+00 -0.8064838542D+00 -0.9433533173D+00 -0.9993252778D+00 -0.8417849088D+00  0.8950349234D-02 -0.1968911405D+00  0.4095775222D+00  0.6178545312D+00  0.7273792619D+00  0.7948000797D+00  0.8400951167D+00  0.8722237743D+00  0.8959435152D+00  0.9139941038D+00  0.9280284357D+00  0.9391653740D+00  0.9481179271D+00  0.9554269723D+00  0.9614506786D+00  0.9664591687D+00  0.9706677957D+00  0.9742231261D+00  0.9772520060D+00  0.9798447982D+00  0.9820783905D+00  0.9840085538D+00  0.9856841744D+00  0.9871567684D+00  0.9884366743D+00  0.9895732462D+00  0.9905666234D+00  0.9914516145D+00  0.9922354420D+00  0.9929350037D+00  0.9935590679D+00  0.9941142425D+00  0.9946151351D+00  0.9950640107D+00  0.9954725722D+00  0.9958369164D+00  0.9961649940D+00  0.9964647292D+00  0.9967388755D+00  0.9969869052D+00  0.9972120350D+00  0.9974153616D+00  0.9976018164D+00  0.9977736863D+00  0.9979311476D+00  0.9980741305D+00  0.9982064263D+00  0.9983293370D+00  0.9984417390D+00  0.9985425375D+00  0.9986377567D+00  0.9987270445D+00  0.9988087721D+00  0.9988831193D+00  0.9989532099D+00  0.1894284292D+05  0.4000000000D+00
 -0.8763927362D+00 -0.6392069597D+00 -0.4157321516D+00 -0.2064004074D+00 -0.1167505491D-01  0.1679461842D+00  0.3319272051D+00  0.4796898924D+00  0.6106082755D+00  0.7240042894D+00  0.8191412961D+00  0.8952172118D+00  0.9513566761D+00  0.9866044565D+00  0.9999158891D+00  0.9901501360D+00  0.9560640739D+00  0.8963118628D+00  0.8094543152D+00  0.6939910136D+00  0.5484369904D+00  0.3714939878D+00  0.1624297027D+00 -0.7807256474D-01 -0.3458767845D+00 -0.6280528225D+00 -0.8866054981D+00 -0.9948556346D+00 -0.3294590554D+00  0.1275913775D+00  0.6107297818D+00  0.7675109615D+00  0.8449987478D+00  0.8900632010D+00  0.9187870308D+00  0.9382060702D+00  0.9519190773D+00  0.9619070862D+00  0.9693746152D+00  0.9750722920D+00  0.9794908704D+00  0.9829719445D+00  0.9857428135D+00  0.9879819523D+00  0.9897995035D+00  0.9912879110D+00  0.9925228265D+00  0.9935491410D+00  0.9944109454D+00  0.9951362798D+00  0.9957495077D+00  0.9962729861D+00  0.9967215291D+00  0.9971057679D+00  0.9974394312D+00  0.9977252487D+00  0.9979761797D+00  0.9981942403D+00  0.9983844495D+00  0.9985507253D+00  0.9986972256D+00  0.9988264204D+00  0.9989419584D+00  0.9990432974D+00  0.9991328269D+00  0.9992137086D+00  0.9992844687D+00  0.9993489445D+00  0.9994064038D+00  0.9994580522D+00  0.9995045495D+00  0.9995455162D+00  0.9995833488D+00  0.9996177340D+00  0.9996481590D+00  0.9996768618D+00  0.9997017398D+00  0.9997243520D+00  0.9997460462D+00  0.9997649480D+00  0.9997826157D+00  0.9997982751D+00  0.9998130140D+00  0.9998261566D+00  0.9998386198D+00  0.9998500649D+00  0.9998599420D+00  0.9998692832D+00  0.9998785400D+00  0.9998862919D+00  0.9998937047D+00  0.9999005874D+00  0.9999069903D+00  0.9999129228D+00  0.9999183278D+00  0.9999237605D+00  0.9999281123D+00  0.9999327415D+00  0.9999368629D+00  0.9999404998D+00  0.1894284292D+05  0.8020000000D+00
 -0.8394049425D+00 -0.5353245421D+00 -0.2548426632D+00  0.1019718699D-02  0.2311406550D+00  0.4342827589D+00  0.6090756420D+00  0.7539961562D+00  0.8673435486D+00  0.9472130589D+00  0.9914642156D+00  0.9976874778D+00  0.9631733566D+00  0.8848939352D+00  0.7595256042D+00  0.5835777837D+00  0.3538090600D+00  0.6842768957D-01 -0.2693504268D+00 -0.6394753491D+00 -0.9558161785D+00 -0.7334995984D+00  0.1351616064D+00  0.6758604947D+00  0.8218296401D+00  0.8881874982D+00  0.9245499560D+00  0.9466164538D+00  0.9609187246D+00  0.9706313079D+00  0.9774678640D+00  0.9824183905D+00  0.9860793107D+00  0.9888414864D+00  0.9909608924D+00  0.9926052602D+00  0.9939020401D+00  0.9949305517D+00  0.9957579359D+00  0.9964271217D+00  0.9969744938D+00  0.9974240624D+00  0.9977940799D+00  0.9981038149D+00  0.9983623907D+00  0.9985815775D+00  0.9987657585D+00  0.9989214474D+00  0.9990555140D+00  0.9991701965D+00  0.9992679529D+00  0.9993539546D+00  0.9994272505D+00  0.9994902113D+00  0.9995467527D+00  0.9995946643D+00  0.9996374475D+00  0.9996747536D+00  0.9997075223D+00  0.9997369430D+00  0.9997631374D+00  0.9997856387D+00  0.9998059894D+00  0.9998238095D+00  0.9998398293D+00  0.9998542291D+00  0.9998673053D+00  0.9998789757D+00  0.9998893563D+00  0.9998986341D+00  0.9999073319D+00  0.9999147116D+00  0.9999216242D+00  0.9999281938D+00  0.9999338065D+00  0.9999392299D+00  0.9999435694D+00  0.9999478406D+00  0.9999518236D+00  0.9999554747D+00  0.9999588427D+00  0.9999617626D+00  0.9999644166D+00  0.9999671449D+00  0.9999693910D+00  0.9999714286D+00  0.9999733288D+00  0.9999750370D+00  0.9999767458D+00  0.9999783180D+00  0.9999796798D+00  0.9999810886D+00  0.9999824053D+00  0.9999833925D+00  0.9999843580D+00  0.9999853496D+00  0.9999864103D+00  0.9999871281D+00  0.9999879847D+00  0.9999885305D+00  0.1894284292D+05  0.1206010000D+01
 -0.8068481439D+00 -0.4455393499D+00 -0.1189906790D+00  0.1708989688D+00  0.4219939488D+00  0.6318784970D+00  0.7978032365D+00  0.9166211743D+00  0.9847094426D+00  0.9978822747D+00  0.9513010481D+00  0.8394174189D+00  0.6560550006D+00  0.3949478037D+00  0.5184402244D-01 -0.3675511681D+00 -0.8121170613D+00 -0.9420801208D+00  0.3270824818D-01  0.7067621124D+00  0.8509565069D+00  0.9113823770D+00  0.9427285444D+00  0.9609262546D+00  0.9723017933D+00  0.9797770564D+00  0.9848848925D+00  0.9884860247D+00  0.9910842790D+00  0.9930024622D+00  0.9944388170D+00  0.9955344692D+00  0.9963792568D+00  0.9970405253D+00  0.9975617062D+00  0.9979766573D+00  0.9983087391D+00  0.9985795482D+00  0.9987996152D+00  0.9989809588D+00  0.9991303750D+00  0.9992545198D+00  0.9993582034D+00  0.9994456015D+00  0.9995180860D+00  0.9995807872D+00  0.9996341757D+00  0.9996791913D+00  0.9997179324D+00  0.9997517617D+00  0.9997800434D+00  0.9998056154D+00  0.9998271038D+00  0.9998459141D+00  0.9998628775D+00  0.9998773528D+00  0.9998899366D+00  0.9999012404D+00  0.9999108662D+00  0.9999196925D+00  0.9999276914D+00  0.9999342901D+00  0.9999406722D+00  0.9999461263D+00  0.9999511219D+00  0.9999554651D+00  0.9999593724D+00  0.9999628921D+00  0.9999661517D+00  0.9999688617D+00  0.9999715727D+00  0.9999739432D+00  0.9999760207D+00  0.9999779065D+00  0.9999794672D+00  0.9999813045D+00  0.9999825261D+00  0.9999840222D+00  0.9999852609D+00  0.9999862919D+00  0.9999873015D+00  0.9999880853D+00  0.9999891009D+00  0.9999898760D+00  0.9999904490D+00  0.9999912211D+00  0.9999917083D+00  0.9999923716D+00  0.9999929012D+00  0.9999933035D+00  0.9999936998D+00  0.9999941677D+00  0.9999945477D+00  0.9999949112D+00  0.9999951919D+00  0.9999954823D+00  0.9999957730D+00  0.9999960735D+00  0.9999962667D+00  0.9999964261D+00  0.1894284292D+05  0.1612040050D+01
 -0.7772791450D+00 -0.3653819774D+00 -0.5066662609D-03  0.3142501325D+00  0.5753262241D+00  0.7785907880D+00  0.9192135003D+00  0.9915029817D+00  0.9887145028D+00  0.9028586080D+00  0.7246279469D+00  0.4439006398D+00  0.5264332252D-01 -0.4411737921D+00 -0.9307616490D+00 -0.1011161006D+00  0.6059749846D+00  0.8350622817D+00  0.9110358985D+00  0.9461628184D+00  0.9650838293D+00  0.9762526779D+00  0.9832615540D+00  0.9878705033D+00  0.9910097260D+00  0.9932098229D+00  0.9947881307D+00  0.9959442727D+00  0.9968057861D+00  0.9974562183D+00  0.9979532092D+00  0.9983389987D+00  0.9986423165D+00  0.9988815857D+00  0.9990718452D+00  0.9992251368D+00  0.9993497530D+00  0.9994510121D+00  0.9995348166D+00  0.9996033176D+00  0.9996602254D+00  0.9997081961D+00  0.9997481733D+00  0.9997817376D+00  0.9998105524D+00  0.9998343058D+00  0.9998555055D+00  0.9998731083D+00  0.9998882487D+00  0.9999012282D+00  0.9999126378D+00  0.9999224275D+00  0.9999309455D+00  0.9999388208D+00  0.9999452267D+00  0.9999508254D+00  0.9999559649D+00  0.9999604395D+00  0.9999644436D+00  0.9999680301D+00  0.9999709984D+00  0.9999736418D+00  0.9999762889D+00  0.9999782545D+00  0.9999803399D+00  0.9999820809D+00  0.9999837301D+00  0.9999850977D+00  0.9999863736D+00  0.9999874778D+00  0.9999885041D+00  0.9999894402D+00  0.9999903587D+00  0.9999911240D+00  0.9999918623D+00  0.9999925181D+00  0.9999930947D+00  0.9999934862D+00  0.9999940436D+00  0.9999945194D+00  0.9999948709D+00  0.9999953095D+00  0.9999955912D+00  0.9999959506D+00  0.9999961315D+00  0.9999965006D+00  0.9999967422D+00  0.9999969398D+00  0.9999971765D+00  0.9999973157D+00  0.9999974473D+00  0.9999976794D+00  0.9999978074D+00  0.9999979299D+00  0.9999981063D+00  0.9999981764D+00  0.9999983464D+00  0.9999984372D+00  0.9999985131D+00  0.9999985614D+00  0.1894284292D+05  0.2020100250D+01
 -0.7499195655D+00 -0.2924303218D+00  0.1047787726D+00  0.4370609476D+00  0.6989511858D+00  0.8839533559D+00  0.9842634843D+00  0.9904248929D+00  0.8909535774D+00  0.6721672381D+00  0.3192920826D+00 -0.1757678876D+00 -0.7644624084D+00 -0.7660586832D+00  0.5519835168D+00  0.8376810908D+00  0.9181454295D+00  0.9527034228D+00  0.9704148438D+00  0.9804714522D+00  0.9865889603D+00  0.9905012669D+00  0.9931025631D+00  0.9948869189D+00  0.9961406976D+00  0.9970422181D+00  0.9977037122D+00  0.9981947336D+00  0.9985663604D+00  0.9988503001D+00  0.9990701347D+00  0.9992417447D+00  0.9993771267D+00  0.9994854188D+00  0.9995712471D+00  0.9996415242D+00  0.9996981850D+00  0.9997448605D+00  0.9997826650D+00  0.9998148115D+00  0.9998413575D+00  0.9998629682D+00  0.9998820220D+00  0.9998974818D+00  0.9999109726D+00  0.9999223642D+00  0.9999318870D+00  0.9999403100D+00  0.9999472821D+00  0.9999534864D+00  0.9999586543D+00  0.9999635144D+00  0.9999675828D+00  0.9999709366D+00  0.9999741398D+00  0.9999768527D+00  0.9999792234D+00  0.9999813797D+00  0.9999830473D+00  0.9999847435D+00  0.9999863328D+00  0.9999875979D+00  0.9999887610D+00  0.9999898179D+00  0.9999907000D+00  0.9999915337D+00  0.9999922523D+00  0.9999929268D+00  0.9999935758D+00  0.9999941072D+00  0.9999946168D+00  0.9999949983D+00  0.9999954728D+00  0.9999957619D+00  0.9999960863D+00  0.9999963644D+00  0.9999966570D+00  0.9999969079D+00  0.9999971790D+00  0.9999973449D+00  0.9999975317D+00  0.9999977639D+00  0.9999978755D+00  0.9999980798D+00  0.9999981842D+00  0.9999983011D+00  0.9999984608D+00  0.9999985078D+00  0.9999986686D+00  0.9999987395D+00  0.9999988150D+00  0.9999988981D+00  0.9999989764D+00  0.9999990126D+00  0.9999990684D+00  0.9999991632D+00  0.9999991773D+00  0.9999992741D+00  0.9999992847D+00  0.9999993373D+00  0.1894284292D+05  0.2430200752D+01
 -0.7427978018D+00 -0.2735685135D+00  0.1316761782D+00  0.4677577339D+00  0.7285425632D+00  0.9066814793D+00  0.9932675293D+00  0.9774082967D+00  0.8457791150D+00  0.5825539857D+00  0.1716838797D+00 -0.3872915447D+00 -0.9552498159D+00 -0.7643696693D+00  0.7422747307D+00  0.8880652914D+00  0.9399551192D+00  0.9641835447D+00  0.9771570311D+00  0.9847211724D+00  0.9894109195D+00  0.9924468256D+00  0.9944870479D+00  0.9958965441D+00  0.9968923701D+00  0.9976125893D+00  0.9981426336D+00  0.9985374330D+00  0.9988369800D+00  0.9990663904D+00  0.9992438001D+00  0.9993823914D+00  0.9994926110D+00  0.9995795652D+00  0.9996504182D+00  0.9997070369D+00  0.9997533810D+00  0.9997911054D+00  0.9998223450D+00  0.9998485331D+00  0.9998699951D+00  0.9998878464D+00  0.9999032584D+00  0.9999162647D+00  0.9999269548D+00  0.9999362977D+00  0.9999443102D+00  0.9999509849D+00  0.9999566377D+00  0.9999619410D+00  0.9999662944D+00  0.9999700326D+00  0.9999733963D+00  0.9999762921D+00  0.9999786954D+00  0.9999809590D+00  0.9999828236D+00  0.9999846945D+00  0.9999861047D+00  0.9999875671D+00  0.9999886551D+00  0.9999898599D+00  0.9999906955D+00  0.9999915372D+00  0.9999923049D+00  0.9999930417D+00  0.9999936472D+00  0.9999941540D+00  0.9999946834D+00  0.9999951114D+00  0.9999954871D+00  0.9999959258D+00  0.9999962336D+00  0.9999965691D+00  0.9999967750D+00  0.9999970578D+00  0.9999972491D+00  0.9999974551D+00  0.9999976431D+00  0.9999978838D+00  0.9999980478D+00  0.9999981532D+00  0.9999983213D+00  0.9999984227D+00  0.9999985056D+00  0.9999986042D+00  0.9999986922D+00  0.9999988231D+00  0.9999989072D+00  0.9999989906D+00  0.9999990342D+00  0.9999990793D+00  0.9999991432D+00  0.9999991791D+00  0.9999992393D+00  0.9999992962D+00  0.9999993422D+00  0.9999993971D+00  0.9999994286D+00  0.9999994626D+00  0.1763361937D+05  0.2842351755D+01
 -0.7423233365D+00 -0.2722317808D+00  0.1336984721D+00  0.4701972956D+00  0.7310115887D+00  0.9086334159D+00  0.9939413858D+00  0.9757490787D+00  0.8403279095D+00  0.5713231341D+00  0.1521929005D+00 -0.4163877483D+00 -0.9733220087D+00 -0.2535037299D+00  0.7606061632D+00  0.8940378974D+00  0.9427244139D+00  0.9656973548D+00  0.9780662019D+00  0.9853053351D+00  0.9898011653D+00  0.9927213665D+00  0.9946823606D+00  0.9960399448D+00  0.9970009588D+00  0.9976947643D+00  0.9982055538D+00  0.9985869750D+00  0.9988752371D+00  0.9990970253D+00  0.9992686736D+00  0.9994030955D+00  0.9995089766D+00  0.9995935142D+00  0.9996614856D+00  0.9997169202D+00  0.9997611657D+00  0.9997978714D+00  0.9998280821D+00  0.9998535534D+00  0.9998741550D+00  0.9998915898D+00  0.9999064154D+00  0.9999189257D+00  0.9999294178D+00  0.9999382572D+00  0.9999459072D+00  0.9999524094D+00  0.9999582640D+00  0.9999629704D+00  0.9999672298D+00  0.9999710181D+00  0.9999740993D+00  0.9999769062D+00  0.9999794703D+00  0.9999816206D+00  0.9999835267D+00  0.9999851146D+00  0.9999865690D+00  0.9999879531D+00  0.9999891423D+00  0.9999901881D+00  0.9999909931D+00  0.9999918289D+00  0.9999925365D+00  0.9999932890D+00  0.9999938601D+00  0.9999943898D+00  0.9999948749D+00  0.9999953463D+00  0.9999957392D+00  0.9999960027D+00  0.9999963991D+00  0.9999966423D+00  0.9999968919D+00  0.9999971984D+00  0.9999973505D+00  0.9999975830D+00  0.9999977756D+00  0.9999979104D+00  0.9999980355D+00  0.9999982334D+00  0.9999983545D+00  0.9999984549D+00  0.9999985826D+00  0.9999986458D+00  0.9999987437D+00  0.9999988722D+00  0.9999989009D+00  0.9999989773D+00  0.9999990477D+00  0.9999991360D+00  0.9999991878D+00  0.9999992504D+00  0.9999993021D+00  0.9999993442D+00  0.9999993616D+00  0.9999994047D+00  0.9999994378D+00  0.9999994568D+00  0.1619476499D+05  0.3256563514D+01
 -0.7453553769D+00 -0.2801308963D+00  0.1226387002D+00  0.4578405424D+00  0.7194149929D+00  0.9000952854D+00  0.9910630203D+00  0.9815110719D+00  0.8581639446D+00  0.6050970161D+00  0.2055837086D+00 -0.3442280442D+00 -0.9291184132D+00  0.9944938457D+00  0.7254178722D+00  0.8829548815D+00  0.9376798966D+00  0.9629786047D+00  0.9764467246D+00  0.9842790225D+00  0.9891178042D+00  0.9922467314D+00  0.9943449041D+00  0.9957921564D+00  0.9968154409D+00  0.9975542698D+00  0.9980975328D+00  0.9985032893D+00  0.9988094332D+00  0.9990444760D+00  0.9992264571D+00  0.9993688675D+00  0.9994808620D+00  0.9995708746D+00  0.9996427103D+00  0.9997003564D+00  0.9997476463D+00  0.9997866200D+00  0.9998188790D+00  0.9998449645D+00  0.9998671248D+00  0.9998856748D+00  0.9999013553D+00  0.9999142761D+00  0.9999255686D+00  0.9999350158D+00  0.9999430286D+00  0.9999499777D+00  0.9999558729D+00  0.9999609100D+00  0.9999656050D+00  0.9999693473D+00  0.9999726773D+00  0.9999756814D+00  0.9999781940D+00  0.9999804745D+00  0.9999824958D+00  0.9999843014D+00  0.9999859355D+00  0.9999872554D+00  0.9999884785D+00  0.9999895942D+00  0.9999905458D+00  0.9999914306D+00  0.9999922364D+00  0.9999928854D+00  0.9999935046D+00  0.9999940919D+00  0.9999945222D+00  0.9999950316D+00  0.9999954802D+00  0.9999958405D+00  0.9999961838D+00  0.9999964417D+00  0.9999967846D+00  0.9999970067D+00  0.9999972114D+00  0.9999974563D+00  0.9999975969D+00  0.9999978011D+00  0.9999979758D+00  0.9999980884D+00  0.9999982805D+00  0.9999984083D+00  0.9999984812D+00  0.9999986171D+00  0.9999986755D+00  0.9999988053D+00  0.9999988406D+00  0.9999989243D+00  0.9999990200D+00  0.9999990588D+00  0.9999991380D+00  0.9999991648D+00  0.9999992182D+00  0.9999992771D+00  0.9999993242D+00  0.9999993687D+00  0.9999993961D+00  0.9999994525D+00  0.1481713836D+05  0.3672846332D+01
 -0.7455434781D+00 -0.2805494057D+00  0.1221606569D+00  0.4574371419D+00  0.7191703117D+00  0.9000239034D+00  0.9910815694D+00  0.9813949324D+00  0.8574816554D+00  0.6031142774D+00  0.2011620856D+00 -0.3523729075D+00 -0.9367792801D+00 -0.1517755762D+00  0.7338342184D+00  0.8856147099D+00  0.9389079585D+00  0.9636452008D+00  0.9768505333D+00  0.9845353333D+00  0.9892905808D+00  0.9923670051D+00  0.9944313050D+00  0.9958565047D+00  0.9968637788D+00  0.9975915094D+00  0.9981261387D+00  0.9985254699D+00  0.9988267455D+00  0.9990587428D+00  0.9992371163D+00  0.9993778771D+00  0.9994889227D+00  0.9995768676D+00  0.9996475826D+00  0.9997049404D+00  0.9997516150D+00  0.9997900454D+00  0.9998215058D+00  0.9998474716D+00  0.9998689826D+00  0.9998872271D+00  0.9999023997D+00  0.9999155052D+00  0.9999263407D+00  0.9999359228D+00  0.9999436576D+00  0.9999504953D+00  0.9999563808D+00  0.9999615289D+00  0.9999659141D+00  0.9999697682D+00  0.9999732576D+00  0.9999761543D+00  0.9999786730D+00  0.9999808712D+00  0.9999827632D+00  0.9999845219D+00  0.9999861007D+00  0.9999874078D+00  0.9999887045D+00  0.9999896784D+00  0.9999907547D+00  0.9999915360D+00  0.9999922981D+00  0.9999929309D+00  0.9999935917D+00  0.9999941867D+00  0.9999946275D+00  0.9999951312D+00  0.9999955684D+00  0.9999958585D+00  0.9999962012D+00  0.9999965015D+00  0.9999967776D+00  0.9999970018D+00  0.9999973113D+00  0.9999974746D+00  0.9999976579D+00  0.9999978407D+00  0.9999979933D+00  0.9999981113D+00  0.9999982568D+00  0.9999983852D+00  0.9999984989D+00  0.9999986344D+00  0.9999987305D+00  0.9999987812D+00  0.9999988898D+00  0.9999989239D+00  0.9999990134D+00  0.9999991055D+00  0.9999991468D+00  0.9999992056D+00  0.9999992527D+00  0.9999992981D+00  0.9999993272D+00  0.9999993668D+00  0.9999994368D+00  0.9999994483D+00  0.1382409941D+05  0.4091210563D+01
